jUCf,FpPMUiwXLDA,"[2, 7, 437, 1155]",
sJCf,R_RUiunY30I,"[21, 23, 24, 73]",
yHCf,UrJxJFgJPxQ,"[824, 1061, 3621]","[{'text': 'this is a picture of American liberty in', 'start': 1.04, 'duration': 6.73}, {'text': '2015 high relief gold coin from the US', 'start': 4.339, 'duration': 6.911}, {'text': 'Mint site the coins were minted on July', 'start': 7.77, 'duration': 11.75}, {'text': '30th 2015 and I ordered 10 of them I', 'start': 11.25, 'duration': 14.13}, {'text': 'want to show you the first time the', 'start': 19.52, 'duration': 8.23}, {'text': 'opening of this package that I just got', 'start': 25.38, 'duration': 6.05}, {'text': 'from the US Mint one-day delivery and', 'start': 27.75, 'duration': 9.09}, {'text': 'inside of it is six coins American', 'start': 31.43, 'duration': 7.78}, {'text': 'Liberty coins for other coins are coming', 'start': 36.84, 'duration': 8.059}, {'text': ""in the mail soon so let's do it"", 'start': 39.21, 'duration': 5.689}, {'text': ""six wrap that's okay"", 'start': 63.739, 'duration': 20.281}, {'text': ""alright so here they are I'm going to"", 'start': 78.95, 'duration': 10.33}, {'text': 'open one of them for you certificate of', 'start': 84.02, 'duration': 12.099}, {'text': 'authenticity nice design only 50,000 of', 'start': 89.28, 'duration': 10.97}, {'text': 'them were mented which is a low mintage', 'start': 96.119, 'duration': 9.29}, {'text': 'so I purchased 10 in order to grade them', 'start': 100.25, 'duration': 9.369}, {'text': 'sell them and hopefully get a couple of', 'start': 105.409, 'duration': 7.931}, {'text': ""free ones for myself by doing that I'll"", 'start': 109.619, 'duration': 9.39}, {'text': 'keep you posted but here it is mm-hmm', 'start': 113.34, 'duration': 12.889}, {'text': 'tight 0 this is the heads', 'start': 119.009, 'duration': 7.22}, {'text': 'and this is the tail', 'start': 130.22, 'duration': 5.489}, {'text': 'very nice it is the newest US Mint', 'start': 138.48, 'duration': 11.94}, {'text': 'achievement digital and manufacturing', 'start': 144.959, 'duration': 8.401}, {'text': 'technology had leaped forward within a', 'start': 150.42, 'duration': 5.49}, {'text': 'couple of years so they used all those', 'start': 153.36, 'duration': 5.64}, {'text': 'advances to fabricate this beautiful', 'start': 155.91, 'duration': 6.51}, {'text': 'beautiful coins so I am going to send', 'start': 159.0, 'duration': 7.349}, {'text': 'them to NGC for grading hopeful the low', 'start': 162.42, 'duration': 9.149}, {'text': ""coming ms70 PL proof like 70 and I'll be"", 'start': 166.349, 'duration': 8.521}, {'text': 'able to sell them with a nice profit', 'start': 171.569, 'duration': 7.23}, {'text': 'margin so I can as I said you got at', 'start': 174.87, 'duration': 6.929}, {'text': 'least one or two three coins out of it', 'start': 178.799, 'duration': 9.321}, {'text': ""alright I'll talk to you later"", 'start': 181.799, 'duration': 6.321}]"
ejCf,Q8SW5JWpxoU,"[6, 8]",
9rCf,Q92ng8joEDw,"[1, 19, 488, 495, 2641]",
jiCf,QBr3TZYRqzo,"[3, 4]",
9DCf,_gq_9YpNHbU,[2384],"[{'text': ""it's only day one of Ranger School and"", 'start': 1.82, 'duration': 4.57}, {'text': 'nearly 30 percent of Ranger students', 'start': 4.29, 'duration': 4.769}, {'text': 'have already been dropped burger those', 'start': 6.39, 'duration': 4.26}, {'text': 'who are left have proven they have the', 'start': 9.059, 'duration': 3.031}, {'text': 'physical stamina and the water', 'start': 10.65, 'duration': 3.81}, {'text': 'confidence to survive and face the next', 'start': 12.09, 'duration': 8.64}, {'text': '60 days of Ranger School as the Sun', 'start': 14.46, 'duration': 8.43}, {'text': 'begins to set on this first day students', 'start': 20.73, 'duration': 3.809}, {'text': 'finish it out with a combatives class', 'start': 22.89, 'duration': 3.899}, {'text': 'where they learn how a knife can be', 'start': 24.539, 'duration': 5.49}, {'text': 'quite an asset not a secondary weapon', 'start': 26.789, 'duration': 5.551}, {'text': 'system for Rangers they can use knives', 'start': 30.029, 'duration': 5.221}, {'text': 'because it will build aggression for the', 'start': 32.34, 'duration': 5.129}, {'text': 'Ranger and allow them to close with the', 'start': 35.25, 'duration': 4.05}, {'text': 'enemy so this just increases the', 'start': 37.469, 'duration': 3.631}, {'text': 'distance that they can fight the enemy', 'start': 39.3, 'duration': 5.009}, {'text': 'hat yeah in close combat situations or', 'start': 41.1, 'duration': 4.91}, {'text': 'even during a weapons malfunction', 'start': 44.309, 'duration': 4.41}, {'text': 'Rangers need to have the skills to adapt', 'start': 46.01, 'duration': 6.549}, {'text': 'and overcome on guard to go through the', 'start': 48.719, 'duration': 6.691}, {'text': 'drills multiple times all the drills the', 'start': 52.559, 'duration': 4.59}, {'text': 'soldiers conduct in both offensive and', 'start': 55.41, 'duration': 4.32}, {'text': 'defensive with the Ranger buddy as well', 'start': 57.149, 'duration': 3.96}, {'text': 'as other basics of knife fighting', 'start': 59.73, 'duration': 3.149}, {'text': 'techniques like how to conduct an attack', 'start': 61.109, 'duration': 4.08}, {'text': 'and the importance of body position and', 'start': 62.879, 'duration': 4.381}, {'text': 'leading with the dominant foot officer', 'start': 65.189, 'duration': 6.121}, {'text': 'drill 5 go but start the class Ranger', 'start': 67.26, 'duration': 5.64}, {'text': 'students must first learn where to carry', 'start': 71.31, 'duration': 3.18}, {'text': 'their knife and how to create a good', 'start': 72.9, 'duration': 4.05}, {'text': 'economy of motion free from obstructions', 'start': 74.49, 'duration': 4.919}, {'text': 'having that good flow movement from', 'start': 76.95, 'duration': 4.29}, {'text': ""point A to point B it's nothing to a"", 'start': 79.409, 'duration': 3.721}, {'text': 'good offensive light position I built', 'start': 81.24, 'duration': 4.14}, {'text': 'confidence in the Ranger and it provides', 'start': 83.13, 'duration': 4.349}, {'text': 'that added sense of realism so when', 'start': 85.38, 'duration': 3.599}, {'text': ""they're on the real world conducting"", 'start': 87.479, 'duration': 3.841}, {'text': 'patrolling operations and search for the', 'start': 88.979, 'duration': 4.411}, {'text': 'enemy they know that they had these', 'start': 91.32, 'duration': 3.659}, {'text': 'skills in their back pocket to use if', 'start': 93.39, 'duration': 7.65}, {'text': 'necessary by creating this muscle memory', 'start': 94.979, 'duration': 7.801}, {'text': 'through repetition Ranger students will', 'start': 101.04, 'duration': 3.96}, {'text': 'be able to look back on these techniques', 'start': 102.78, 'duration': 4.379}, {'text': ""even when they're in combat some of"", 'start': 105.0, 'duration': 3.6}, {'text': 'these guys will think back to what they', 'start': 107.159, 'duration': 2.701}, {'text': 'did in Ranger school it will give them', 'start': 108.6, 'duration': 3.33}, {'text': 'the confidence to go further faster and', 'start': 109.86, 'duration': 6.359}, {'text': 'fight harder than any other soldier and', 'start': 111.93, 'duration': 5.85}, {'text': ""even though soldiers won't be dropped"", 'start': 116.219, 'duration': 3.451}, {'text': ""during this block of instruction they're"", 'start': 117.78, 'duration': 4.47}, {'text': 'always being evaluated and can still', 'start': 119.67, 'duration': 5.43}, {'text': 'learn a major or minor - shoulder a', 'start': 122.25, 'duration': 6.59}, {'text': 'little louder mm down to the head Ranger', 'start': 125.1, 'duration': 5.67}, {'text': 'what I look forward is I want to see a', 'start': 128.84, 'duration': 3.52}, {'text': 'ranger student that aggressively attacks', 'start': 130.77, 'duration': 3.06}, {'text': ""with the techniques that he's learned"", 'start': 132.36, 'duration': 3.69}, {'text': 'I want to see a student that can perform', 'start': 133.83, 'duration': 3.99}, {'text': 'the techniques correctly at all times', 'start': 136.05, 'duration': 3.72}, {'text': 'and pays attention to the instruction', 'start': 137.82, 'duration': 4.59}, {'text': 'after nearly 19 hours of day one behind', 'start': 139.77, 'duration': 5.19}, {'text': 'them students must continue to give 110', 'start': 142.41, 'duration': 5.01}, {'text': 'percent because these skills can save', 'start': 144.96, 'duration': 4.32}, {'text': 'lives when they take these skills out', 'start': 147.42, 'duration': 3.24}, {'text': 'into the real world and back into force', 'start': 149.28, 'duration': 3.21}, {'text': ""calm they'll be able to utilize them and"", 'start': 150.66, 'duration': 3.24}, {'text': 'train their soldiers as well as use them', 'start': 152.49, 'duration': 3.77}, {'text': 'in real life', 'start': 153.9, 'duration': 2.36}, {'text': 'finish up day one students are pushed', 'start': 159.32, 'duration': 9.94}, {'text': ""until the very end they're exhausted and"", 'start': 162.0, 'duration': 9.15}, {'text': 'looking forward to a little bit of sleep', 'start': 169.26, 'duration': 4.41}, {'text': 'and a few moments of rest before they', 'start': 171.15, 'duration': 5.309}, {'text': 'begin day two and continue on to land', 'start': 173.67, 'duration': 10.74}, {'text': 'navigation just hours away 102 melissa', 'start': 176.459, 'duration': 11.781}, {'text': 'bell fort benning TV', 'start': 184.41, 'duration': 3.83}, {'text': '[Music]', 'start': 190.66, 'duration': 3.439}]"
p0Cf,_iq7pXrnLNU,"[17, 19]",
NdCf,OyAn1T2o5s4,"[2, 45, 145, 295]",
knCf,WFtXBIYXNbQ,"[6, 8]",
YPCf,wVYVctLioOA,"[16, 414, 726]",
wNCf,0QWNUqt3jow,"[0, 71, 148, 152]",
nXCf,0SpvBL-aex8,"[11, 1593]","[{'text': ""hello good morning dear friends I'm"", 'start': 0.02, 'duration': 6.609}, {'text': ""sorry I'm running out of new tricks you"", 'start': 3.0, 'duration': 8.13}, {'text': 'probably have already said at these key', 'start': 6.629, 'duration': 18.301}, {'text': ""many times let's see the whole process"", 'start': 11.13, 'duration': 20.149}, {'text': 'of the flower moon with this beautiful', 'start': 24.93, 'duration': 12.33}, {'text': 'fruit or vegetable who knows garden', 'start': 31.279, 'duration': 8.46}, {'text': 'tomato', 'start': 37.26, 'duration': 2.479}, {'text': 'look at this flower each flower is', 'start': 57.85, 'duration': 11.26}, {'text': 'different and there are different kinds', 'start': 64.12, 'duration': 11.77}, {'text': 'of designs of flowers and i bought', 'start': 69.11, 'duration': 10.77}, {'text': 'different brand of tea different name of', 'start': 75.89, 'duration': 8.06}, {'text': 'tea and they are made of different', 'start': 79.88, 'duration': 9.21}, {'text': ""inside flowers but i'm sorry i forgot a"", 'start': 83.95, 'duration': 7.69}, {'text': 'name of this particular kind of flower', 'start': 89.09, 'duration': 8.37}, {'text': 'and in china some of the pre factories', 'start': 91.64, 'duration': 10.02}, {'text': 'they make the flower tea with a palette', 'start': 97.46, 'duration': 9.5}, {'text': 'particular very poetic name you see that', 'start': 101.66, 'duration': 9.54}, {'text': 'that little tiny flowers there those', 'start': 106.96, 'duration': 10.86}, {'text': ""tiny flowers there is the Earth's mantle"", 'start': 111.2, 'duration': 11.4}, {'text': 'flower this is a beautiful fragrant', 'start': 117.82, 'duration': 9.689}, {'text': 'awesome time the whole city was', 'start': 122.6, 'duration': 8.57}, {'text': 'intoxicated with this beautiful tiny', 'start': 127.509, 'duration': 12.631}, {'text': 'flower fragrance shake another flower', 'start': 131.17, 'duration': 12.21}, {'text': 'coming up', 'start': 140.14, 'duration': 3.24}, {'text': 'enjoy', 'start': 172.45, 'duration': 2.99}, {'text': 'beautiful teen chicks dancing enjoy', 'start': 177.26, 'duration': 21.19}, {'text': 'dancing by back happy Sunday happy', 'start': 181.07, 'duration': 19.95}, {'text': 'Sunday', 'start': 198.45, 'duration': 2.57}]"
jLCf,r8PcvkKQBqY,"[0, 1, 192, 294, 331, 3790]",
BrCf,ez39_BwAPXE,"[0, 1, 63, 335, 633]","[{'text': 'hello everybody this is kg t legit HD', 'start': 4.609, 'duration': 6.431}, {'text': 'here hi guys and today we are bringing', 'start': 8.519, 'duration': 4.801}, {'text': 'you some more fifa 13 footage which is', 'start': 11.04, 'duration': 5.94}, {'text': ""an absolute pleasure oh it's great we"", 'start': 13.32, 'duration': 6.6}, {'text': 'love demonstrating the demo yes good is', 'start': 16.98, 'duration': 5.1}, {'text': ""good yeah and we're basically just gonna"", 'start': 19.92, 'duration': 3.689}, {'text': ""have another game today and we've left"", 'start': 22.08, 'duration': 3.09}, {'text': ""matchday on because we're going to"", 'start': 23.609, 'duration': 3.51}, {'text': 'replay with Borussia Dortmund and they', 'start': 25.17, 'duration': 3.449}, {'text': 'seem to have performed very well the', 'start': 27.119, 'duration': 3.781}, {'text': ""entire team so yeah you know we're gonna"", 'start': 28.619, 'duration': 4.771}, {'text': 'use that advantage a lot of green a lot', 'start': 30.9, 'duration': 5.31}, {'text': ""of up arrows up for us we've got called"", 'start': 33.39, 'duration': 4.86}, {'text': ""it is a form and we're going to play"", 'start': 36.21, 'duration': 3.3}, {'text': 'against your vendors because we did', 'start': 38.25, 'duration': 2.85}, {'text': 'actually try playing the event as vs', 'start': 39.51, 'duration': 3.869}, {'text': 'borussia dortmund but they use a crazy', 'start': 41.1, 'duration': 3.81}, {'text': ""formation and we'll go into that in a"", 'start': 43.379, 'duration': 2.91}, {'text': 'little bit but yeah look at some of', 'start': 44.91, 'duration': 2.669}, {'text': 'these formations have a look at these', 'start': 46.289, 'duration': 3.75}, {'text': ""formations gallery 142 that's the"", 'start': 47.579, 'duration': 5.281}, {'text': ""classic yeah is it no it's not reason"", 'start': 50.039, 'duration': 4.441}, {'text': ""unless that's the one that event is"", 'start': 52.86, 'duration': 4.35}, {'text': 'using it see a horrible ya rabil', 'start': 54.48, 'duration': 5.669}, {'text': ""horrible any new ones three foot that's"", 'start': 57.21, 'duration': 5.669}, {'text': ""not new and it's different like layout"", 'start': 60.149, 'duration': 4.201}, {'text': ""so I look at this like they've got like"", 'start': 62.879, 'duration': 3.541}, {'text': 'a sweeper there yes very that and', 'start': 64.35, 'duration': 4.49}, {'text': 'different variations of classics and', 'start': 66.42, 'duration': 5.28}, {'text': ""hopefully look at that one I'm hoping"", 'start': 68.84, 'duration': 4.27}, {'text': 'that some of these will be introduced', 'start': 71.7, 'duration': 4.02}, {'text': 'into ultimate team as well ya ready for', 'start': 73.11, 'duration': 5.46}, {'text': '42 that just looks like a full 12 12 yep', 'start': 75.72, 'duration': 7.38}, {'text': 'crazy for 132 I think that was in that', 'start': 78.57, 'duration': 6.39}, {'text': 'was in fifa 12 yeah that was the one', 'start': 83.1, 'duration': 3.15}, {'text': ""that's getting popular by the end of it"", 'start': 84.96, 'duration': 5.64}, {'text': ""last new 41 41 41 41 that's right"", 'start': 86.25, 'duration': 5.7}, {'text': ""there's a what there's another one for"", 'start': 90.6, 'duration': 4.83}, {'text': ""24 as well where's that 44 yeah check"", 'start': 91.95, 'duration': 6.18}, {'text': 'out the fuck yeah man so what are they', 'start': 95.43, 'duration': 5.25}, {'text': ""played that's tish two strikers in like"", 'start': 98.13, 'duration': 5.25}, {'text': 'a right now four strikers yeah but what', 'start': 100.68, 'duration': 4.649}, {'text': 'is it like just that a late casters', 'start': 103.38, 'duration': 4.519}, {'text': ""right wing let's find out Christ"", 'start': 105.329, 'duration': 4.801}, {'text': ""laissez-faire zap formation I'm"", 'start': 107.899, 'duration': 6.071}, {'text': ""intrigued which we have on so we've got"", 'start': 110.13, 'duration': 5.879}, {'text': 'to Center meds is right-wing and', 'start': 113.97, 'duration': 3.719}, {'text': 'left-wing right-wing left wing and two', 'start': 116.009, 'duration': 4.231}, {'text': 'strikers same really forward christ', 'start': 117.689, 'duration': 4.47}, {'text': 'almighty be a lot of different', 'start': 120.24, 'duration': 3.57}, {'text': 'formations there for you guys to choose', 'start': 122.159, 'duration': 3.451}, {'text': 'from yes going to show you stray the', 'start': 123.81, 'duration': 4.58}, {'text': 'rest of them where do we get to for 42', 'start': 125.61, 'duration': 5.519}, {'text': '44 god this is just these are just the', 'start': 128.39, 'duration': 5.0}, {'text': ""most exotic formations I've ever seen"", 'start': 131.129, 'duration': 4.901}, {'text': 'call these four three threes Jesus hi I', 'start': 133.39, 'duration': 5.28}, {'text': ""know how about I really hope they'll be"", 'start': 136.03, 'duration': 5.58}, {'text': 'bringing into our ultimate team very', 'start': 138.67, 'duration': 5.22}, {'text': 'much so look at that one what the hell', 'start': 141.61, 'duration': 4.56}, {'text': ""is that oh my god I've never seen it"", 'start': 143.89, 'duration': 12.78}, {'text': ""before ah let's get to again mr. I'm"", 'start': 146.17, 'duration': 13.68}, {'text': 'interested in seeing I was for 240 hands', 'start': 156.67, 'duration': 6.18}, {'text': ""up there's people everywhere which is"", 'start': 159.85, 'duration': 5.52}, {'text': ""quite nice I'm guessing wing play is"", 'start': 162.85, 'duration': 5.01}, {'text': ""something that's gonna be pivotal yeah"", 'start': 165.37, 'duration': 7.02}, {'text': 'crucial crucially pivotal look at this', 'start': 167.86, 'duration': 7.59}, {'text': 'got voucher kofsky doing that crazy', 'start': 172.39, 'duration': 6.629}, {'text': 'crazy dribble all first tired actually I', 'start': 175.45, 'duration': 5.1}, {'text': ""was holding out on RT though and I'm"", 'start': 179.019, 'duration': 3.061}, {'text': ""you're gonna get punished for that yeah"", 'start': 180.55, 'duration': 3.54}, {'text': ""yeah you're really gonna get punished"", 'start': 182.08, 'duration': 3.84}, {'text': ""for that you've got to stop doing that"", 'start': 184.09, 'duration': 4.35}, {'text': 'basically I call is formation actually', 'start': 185.92, 'duration': 4.5}, {'text': 'this and just be like bodies wherever', 'start': 188.44, 'duration': 4.019}, {'text': 'you want them to be dead bodies', 'start': 190.42, 'duration': 4.11}, {'text': 'everywhere yeah love dead bodies or just', 'start': 192.459, 'duration': 3.661}, {'text': 'remember we are playing on the up', 'start': 194.53, 'duration': 5.88}, {'text': 'seasons oh my god i only got a keeper', 'start': 196.12, 'duration': 8.64}, {'text': 'what the fuck was that ice there we go', 'start': 200.41, 'duration': 6.99}, {'text': ""fantastic tackle they're really good"", 'start': 204.76, 'duration': 6.0}, {'text': ""stuff o God's sake this happens to me"", 'start': 207.4, 'duration': 5.61}, {'text': 'every time on the break with this game', 'start': 210.76, 'duration': 5.759}, {'text': ""yeah and I don't it was like it was in"", 'start': 213.01, 'duration': 5.22}, {'text': 'our half they has that disgusting', 'start': 216.519, 'duration': 6.211}, {'text': ""fucking go okay stats hmm Ron let's do"", 'start': 218.23, 'duration': 8.15}, {'text': ""this let's kick it into overdrive oh"", 'start': 222.73, 'duration': 8.069}, {'text': ""that's mine alchemy what Raph can wait"", 'start': 226.38, 'duration': 6.99}, {'text': 'it is oh my god breaky got pin we her a', 'start': 230.799, 'duration': 4.291}, {'text': ""brilliant look I've shown you their"", 'start': 233.37, 'duration': 4.03}, {'text': 'shirts are so we seem to do this is like', 'start': 235.09, 'duration': 4.8}, {'text': ""sticking to him as well he's a wet I'm"", 'start': 237.4, 'duration': 5.58}, {'text': ""always taking the narrow oh and it's got"", 'start': 239.89, 'duration': 5.31}, {'text': 'in what well done Jake hot in mouth', 'start': 242.98, 'duration': 6.379}, {'text': 'there greg was yeah this up whoo oh ok', 'start': 245.2, 'duration': 7.289}, {'text': 'clean my fucking boots you pray first', 'start': 249.359, 'duration': 6.581}, {'text': ""one a fifa 13 oh happy to do that you're"", 'start': 252.489, 'duration': 5.101}, {'text': ""on quite annoyed up what's happening the"", 'start': 255.94, 'duration': 4.769}, {'text': 'fucking etihad stadium every match and', 'start': 257.59, 'duration': 5.34}, {'text': 'eh I mean Christ they bought the league', 'start': 260.709, 'duration': 5.46}, {'text': ""now they're buying the the demo stadium"", 'start': 262.93, 'duration': 6.209}, {'text': ""yes well so they're gonna buy whatever"", 'start': 266.169, 'duration': 4.111}, {'text': 'they want they got lots of money', 'start': 269.139, 'duration': 2.971}, {'text': 'probably just angered a lot of people by', 'start': 270.28, 'duration': 4.77}, {'text': ""saying that I don't care you know the"", 'start': 272.11, 'duration': 5.16}, {'text': ""thing is like Fairplay you've got a good"", 'start': 275.05, 'duration': 8.089}, {'text': 'team but yeah you bought that ya see Oh', 'start': 277.27, 'duration': 14.82}, {'text': 'bullshit Oh No yes ah-ha so close to', 'start': 283.139, 'duration': 14.65}, {'text': 'missing I you know I Bryce Claire okay', 'start': 292.09, 'duration': 8.509}, {'text': 'well I try to like slide tackle it in oh', 'start': 297.789, 'duration': 7.741}, {'text': 'man I was really scared Oh mr. wanna go', 'start': 300.599, 'duration': 8.831}, {'text': 'Oh what right oh god this game is is', 'start': 305.53, 'duration': 7.44}, {'text': 'perfect in every way Oh what I go family', 'start': 309.43, 'duration': 6.269}, {'text': ""in steak brilliant how'd you feel I feel"", 'start': 312.97, 'duration': 5.43}, {'text': 'really good man you know and its really', 'start': 315.699, 'duration': 4.62}, {'text': 'happy about that the way the whole goal', 'start': 318.4, 'duration': 4.32}, {'text': ""panned out but if you didn't press"", 'start': 320.319, 'duration': 4.981}, {'text': 'square might have been a bit different', 'start': 322.72, 'duration': 4.59}, {'text': 'no I mean the actual goal oh yeah that', 'start': 325.3, 'duration': 4.44}, {'text': 'was square ok Eric am I shot with oh', 'start': 327.31, 'duration': 4.8}, {'text': ""you're off he's not he's not that's a"", 'start': 329.74, 'duration': 5.549}, {'text': 'great save though absolutely beautiful', 'start': 332.11, 'duration': 6.54}, {'text': ""safe all right run you got space I'm in"", 'start': 335.289, 'duration': 5.91}, {'text': ""the middle on in the middle I'm in the"", 'start': 338.65, 'duration': 3.75}, {'text': ""middle is he gonna you're gonna lose"", 'start': 341.199, 'duration': 4.02}, {'text': ""that you're gonna lose that there's a"", 'start': 342.4, 'duration': 6.75}, {'text': 'layoff dungard an o lovely play there', 'start': 345.219, 'duration': 5.101}, {'text': ""yeah we're getting into it now what do"", 'start': 349.15, 'duration': 3.09}, {'text': 'you think about beer play is great we', 'start': 350.32, 'duration': 3.689}, {'text': ""won it's perfect perfect way to end the"", 'start': 352.24, 'duration': 3.149}, {'text': 'game with a nice bit of lovely great', 'start': 354.009, 'duration': 4.141}, {'text': 'play lovely great play we won sorry man', 'start': 355.389, 'duration': 4.77}, {'text': 'city fans are only having a Josh yeah', 'start': 358.15, 'duration': 5.31}, {'text': 'josh Josh Josh in yeah are you talking', 'start': 360.159, 'duration': 6.781}, {'text': 'about only joshing you joshing 44 mental', 'start': 363.46, 'duration': 5.519}, {'text': 'formations one with it though fifa 13', 'start': 366.94, 'duration': 3.93}, {'text': ""it's got it all thanks for watching guys"", 'start': 368.979, 'duration': 4.291}, {'text': ""and we'll that will be bringing you more"", 'start': 370.87, 'duration': 5.25}, {'text': 'fifa 13 demo footage possibly tomorrow', 'start': 373.27, 'duration': 6.35}, {'text': 'oh ah', 'start': 376.12, 'duration': 3.5}]"
