ZJba,IRPF5YdtK7I,"[5, 16, 1027, 1903]",
swba,geO85UPMJW4,"[68, 72, 98, 151, 3829]",
cFba,BW_tABC3q5s,"[28, 33, 38, 78, 86]",
PZba,B_mcHXLEtg0,"[53, 58]",
1Eba,Le3KcFJR8sE,"[1, 25, 157, 407, 2531]",
EYba,FQY1HkF8DiY,"[0, 35, 134]",
Mkba,Fa1qvN-7nZw,"[148, 766]","[{'text': ""I'm Brett with Magnum boots USA and"", 'start': 13.58, 'duration': 3.88}, {'text': ""today we're going to take a look at the"", 'start': 16.32, 'duration': 3.66}, {'text': 'spider 8.1 desert tactical assault boot', 'start': 17.46, 'duration': 4.77}, {'text': 'from Magnum this is a boot you guys that', 'start': 19.98, 'duration': 4.74}, {'text': 'was designed and wear tested for 14', 'start': 22.23, 'duration': 4.26}, {'text': 'months in theater by some of the most', 'start': 24.72, 'duration': 4.229}, {'text': 'elite tactical operators in the world', 'start': 26.49, 'duration': 4.59}, {'text': ""today it's taken a long time to get this"", 'start': 28.949, 'duration': 3.961}, {'text': 'boot to this point but the features that', 'start': 31.08, 'duration': 3.93}, {'text': 'will point out today will show you how', 'start': 32.91, 'duration': 4.14}, {'text': ""important it is and how a good job we've"", 'start': 35.01, 'duration': 3.78}, {'text': 'done to integrate and protect you guys', 'start': 37.05, 'duration': 3.54}, {'text': ""while you're out there in theater some"", 'start': 38.79, 'duration': 3.3}, {'text': 'of the unique features of the of the', 'start': 40.59, 'duration': 4.62}, {'text': ""spider tactical boot is is it's coated"", 'start': 42.09, 'duration': 5.37}, {'text': 'in ion mask and for those of you who', 'start': 45.21, 'duration': 4.2}, {'text': ""don't know what the ion mask technology"", 'start': 47.46, 'duration': 4.05}, {'text': ""is it's a surface enhancement technology"", 'start': 49.41, 'duration': 4.079}, {'text': 'which brings a ton of great features to', 'start': 51.51, 'duration': 4.77}, {'text': 'the table it makes a boot waterproof', 'start': 53.489, 'duration': 5.281}, {'text': 'breathable certainly hydrophobic stay', 'start': 56.28, 'duration': 4.56}, {'text': 'clean of those would be the the most', 'start': 58.77, 'duration': 4.62}, {'text': 'important features of ion mask you can', 'start': 60.84, 'duration': 4.23}, {'text': ""see the water I'm dripping just soaks"", 'start': 63.39, 'duration': 4.26}, {'text': 'soaks right into this towel this would', 'start': 65.07, 'duration': 4.589}, {'text': ""be the same exact kitchen towel that's"", 'start': 67.65, 'duration': 4.5}, {'text': ""treated with ion mask and you'll see"", 'start': 69.659, 'duration': 5.311}, {'text': 'that just like you know mercury water', 'start': 72.15, 'duration': 6.48}, {'text': 'just beads up on on anything another key', 'start': 74.97, 'duration': 5.46}, {'text': ""feature that's a patent-pending feature"", 'start': 78.63, 'duration': 4.08}, {'text': 'on this boot is the vent guard system', 'start': 80.43, 'duration': 4.47}, {'text': ""here that we've got into the front now"", 'start': 82.71, 'duration': 5.19}, {'text': 'the reason we we put the vent guard in', 'start': 84.9, 'duration': 4.59}, {'text': 'the front of the boot in the toe box', 'start': 87.9, 'duration': 4.77}, {'text': ""area is because that's where all of the"", 'start': 89.49, 'duration': 5.1}, {'text': ""friction happens you'll see a lot of"", 'start': 92.67, 'duration': 3.69}, {'text': 'products in the market today with with', 'start': 94.59, 'duration': 3.48}, {'text': 'portage holes and vents in the in the', 'start': 96.36, 'duration': 4.29}, {'text': ""mid foot area right there that's all"", 'start': 98.07, 'duration': 4.829}, {'text': 'fine and good but where the heat happens', 'start': 100.65, 'duration': 4.289}, {'text': 'in your foot is generated in the front', 'start': 102.899, 'duration': 3.15}, {'text': ""that's where all the friction is"", 'start': 104.939, 'duration': 2.491}, {'text': ""generated therefore that's where the"", 'start': 106.049, 'duration': 3.511}, {'text': 'heat comes the vent guard system is', 'start': 107.43, 'duration': 4.59}, {'text': 'designed to let air in and out of this', 'start': 109.56, 'duration': 4.349}, {'text': 'of this which keeps your whole foot cool', 'start': 112.02, 'duration': 4.05}, {'text': ""and that's you know obviously helps when"", 'start': 113.909, 'duration': 4.801}, {'text': ""you're when you're in theater it also"", 'start': 116.07, 'duration': 5.31}, {'text': 'semi works as a bit of a one-way valve', 'start': 118.71, 'duration': 5.82}, {'text': 'in that air can flow in and out of these', 'start': 121.38, 'duration': 5.16}, {'text': ""vents right but you're not getting any"", 'start': 124.53, 'duration': 4.979}, {'text': 'debris and sand and anything in to get', 'start': 126.54, 'duration': 4.559}, {'text': 'inside of your boots so it from that', 'start': 129.509, 'duration': 3.681}, {'text': 'standpoint again this boot was', 'start': 131.099, 'duration': 3.861}, {'text': 'is designed and developed by some of the', 'start': 133.19, 'duration': 3.96}, {'text': 'most elite tactical operators in the', 'start': 134.96, 'duration': 4.71}, {'text': ""world and it's been wear tested in"", 'start': 137.15, 'duration': 5.1}, {'text': 'theater for 14 months now and that was a', 'start': 139.67, 'duration': 4.41}, {'text': 'key key element is to keep these guys', 'start': 142.25, 'duration': 4.26}, {'text': 'comfortable in that extreme heat over', 'start': 144.08, 'duration': 4.83}, {'text': 'there in Iraq and Afghanistan and so', 'start': 146.51, 'duration': 4.17}, {'text': 'this patent-pending feature on the', 'start': 148.91, 'duration': 3.57}, {'text': 'Magnum boot the vent guard is an', 'start': 150.68, 'duration': 3.87}, {'text': 'absolute key element and the guys are', 'start': 152.48, 'duration': 4.47}, {'text': 'loving it we can work through the', 'start': 154.55, 'duration': 5.1}, {'text': ""outsole we've got a nice spider outsole"", 'start': 156.95, 'duration': 4.32}, {'text': ""to this boot it's a it's a pretty hard"", 'start': 159.65, 'duration': 3.63}, {'text': ""durometer rubber but it's highly slip"", 'start': 161.27, 'duration': 4.16}, {'text': 'resistant highly oil resistant as well', 'start': 163.28, 'duration': 4.8}, {'text': ""in the forefoot of the out so we've got"", 'start': 165.43, 'duration': 5.65}, {'text': 'a nice fence grip ladder grip so if', 'start': 168.08, 'duration': 4.8}, {'text': ""you're climbing fence is very tactical"", 'start': 171.08, 'duration': 4.14}, {'text': 'here still with the outsole working our', 'start': 172.88, 'duration': 4.59}, {'text': ""way up the boot we've got a tech tough"", 'start': 175.22, 'duration': 4.71}, {'text': 'leather toe guard in the front here tech', 'start': 177.47, 'duration': 4.26}, {'text': 'tough leather is again designed to just', 'start': 179.93, 'duration': 4.29}, {'text': 'be the ultimate in protection what', 'start': 181.73, 'duration': 4.11}, {'text': ""that's going to do is keep this boot"", 'start': 184.22, 'duration': 3.75}, {'text': 'from scuffing and looking a mess after a', 'start': 185.84, 'duration': 3.78}, {'text': ""while and it's it's still very"", 'start': 187.97, 'duration': 4.2}, {'text': 'breathable lightweight but your kit when', 'start': 189.62, 'duration': 3.99}, {'text': ""you're when you're operating and you get"", 'start': 192.17, 'duration': 3.18}, {'text': ""the scrape oftentimes you're down in the"", 'start': 193.61, 'duration': 3.18}, {'text': ""prone position or you're and you're"", 'start': 195.35, 'duration': 3.12}, {'text': 'working you know this is going to be a', 'start': 196.79, 'duration': 4.5}, {'text': 'boot at the leather toe guard here the', 'start': 198.47, 'duration': 4.83}, {'text': 'tech tough leather toe guard is going to', 'start': 201.29, 'duration': 3.81}, {'text': 'really give you advanced protection when', 'start': 203.3, 'duration': 3.81}, {'text': ""you're in the field and then also we've"", 'start': 205.1, 'duration': 4.17}, {'text': 'got through the through the midsole the', 'start': 207.11, 'duration': 3.93}, {'text': 'main the main element to this sort of', 'start': 209.27, 'duration': 3.45}, {'text': 'midsole outsole of the of the spider', 'start': 211.04, 'duration': 4.47}, {'text': 'tactical boot is the integrated fast', 'start': 212.72, 'duration': 4.98}, {'text': 'rope system that we have here those guys', 'start': 215.51, 'duration': 4.59}, {'text': 'that the elite Special Forces operators', 'start': 217.7, 'duration': 5.009}, {'text': 'and SWAT guys in the world are doing a', 'start': 220.1, 'duration': 5.19}, {'text': 'lot of fast roping and what happens is', 'start': 222.709, 'duration': 5.581}, {'text': 'going down the fast rope it just melts', 'start': 225.29, 'duration': 5.28}, {'text': ""your boots and so we've we've developed"", 'start': 228.29, 'duration': 4.02}, {'text': 'an integrated fast rope system with the', 'start': 230.57, 'duration': 3.33}, {'text': 'thermoplastic here that does two things', 'start': 232.31, 'duration': 4.83}, {'text': ""it doesn't melt away after a few few"", 'start': 233.9, 'duration': 6.48}, {'text': 'fast ropes and it also is a nice arch', 'start': 237.14, 'duration': 4.71}, {'text': 'support it gives you the support that', 'start': 240.38, 'duration': 3.389}, {'text': ""your boot is required but you'll see"", 'start': 241.85, 'duration': 3.96}, {'text': ""through the middle here it's it's it's"", 'start': 243.769, 'duration': 3.991}, {'text': 'got a rolled so it gives you a nice grip', 'start': 245.81, 'duration': 3.78}, {'text': 'and control on the rope and you want', 'start': 247.76, 'duration': 4.05}, {'text': 'that control on the rope but on the on', 'start': 249.59, 'duration': 4.32}, {'text': ""the external side on the outer side it's"", 'start': 251.81, 'duration': 4.35}, {'text': ""angled so that that's the nice breaking"", 'start': 253.91, 'duration': 3.6}, {'text': 'system so that when you get to the', 'start': 256.16, 'duration': 3.389}, {'text': 'bottom of your fast rope you can really', 'start': 257.51, 'duration': 4.77}, {'text': 'control yourself and stop when needed', 'start': 259.549, 'duration': 4.501}, {'text': ""this is something that we've tested and"", 'start': 262.28, 'duration': 2.56}, {'text': 'tested and test', 'start': 264.05, 'duration': 2.83}, {'text': 'then finally got right and again', 'start': 264.84, 'duration': 3.51}, {'text': ""something that you're not going to find"", 'start': 266.88, 'duration': 4.289}, {'text': ""else in the market we've got inside of"", 'start': 268.35, 'duration': 4.77}, {'text': ""the boot you've got a spider mesh lining"", 'start': 271.169, 'duration': 4.021}, {'text': 'which is a moisture wicking lining thick', 'start': 273.12, 'duration': 4.2}, {'text': 'and comfortable nice and padded very', 'start': 275.19, 'duration': 3.99}, {'text': 'very breathable but again wicks away', 'start': 277.32, 'duration': 3.629}, {'text': ""sweat or any other moisture that you're"", 'start': 279.18, 'duration': 3.39}, {'text': ""going to generate inside when you're"", 'start': 280.949, 'duration': 3.301}, {'text': ""when you're operating key element"", 'start': 282.57, 'duration': 3.39}, {'text': ""they're keeping the boot lightweight and"", 'start': 284.25, 'duration': 4.71}, {'text': ""functional we've got 16 50 denier nylon"", 'start': 285.96, 'duration': 6.12}, {'text': 'upper again very lightweight very very', 'start': 288.96, 'duration': 5.91}, {'text': 'durable keeps this boot breathable', 'start': 292.08, 'duration': 6.39}, {'text': ""we've got suede and the collar we've got"", 'start': 294.87, 'duration': 6.42}, {'text': 'in the third the third cleat up is a a', 'start': 298.47, 'duration': 4.68}, {'text': 'locking cleat when you cinch down your', 'start': 301.29, 'duration': 3.12}, {'text': ""laces that's going to keep your boot"", 'start': 303.15, 'duration': 3.03}, {'text': 'nice and tight and those laces keep from', 'start': 304.41, 'duration': 4.68}, {'text': ""from getting loose on you we've got a a"", 'start': 306.18, 'duration': 8.01}, {'text': 'lace integrated lace tuck pouch if you', 'start': 309.09, 'duration': 7.23}, {'text': 'tuck your laces in and keep your uniform', 'start': 314.19, 'duration': 3.84}, {'text': 'looking sharp right here into the tongue', 'start': 316.32, 'duration': 5.49}, {'text': ""we've got an another key element in the"", 'start': 318.03, 'duration': 6.63}, {'text': 'spider 8.1 desert tactical boot is the', 'start': 321.81, 'duration': 6.389}, {'text': 'CMU upper the CMU upper is a material', 'start': 324.66, 'duration': 6.479}, {'text': 'design to lock your heel down into place', 'start': 328.199, 'duration': 4.801}, {'text': ""once you're inside of this boot that"", 'start': 331.139, 'duration': 4.051}, {'text': 'keeps you stable and again a material', 'start': 333.0, 'duration': 3.81}, {'text': 'that gives us the ultimate in light', 'start': 335.19, 'duration': 3.69}, {'text': 'weight and protection but keeps your', 'start': 336.81, 'duration': 3.99}, {'text': 'keeps your foot stable in there when', 'start': 338.88, 'duration': 3.87}, {'text': ""you're operating elsewhere on the"", 'start': 340.8, 'duration': 4.5}, {'text': ""outsole you've got heel stabilizers that"", 'start': 342.75, 'duration': 4.44}, {'text': ""are going to come up you'll see that"", 'start': 345.3, 'duration': 4.14}, {'text': 'this is just one other element that', 'start': 347.19, 'duration': 4.65}, {'text': 'locks your heel and your in your leg', 'start': 349.44, 'duration': 4.02}, {'text': 'down inside of this boot so the', 'start': 351.84, 'duration': 4.41}, {'text': ""stability is is maximized we've got a"", 'start': 353.46, 'duration': 4.889}, {'text': 'through the midsole right off of that', 'start': 356.25, 'duration': 4.74}, {'text': 'fast-rope thermoplastic is another heel', 'start': 358.349, 'duration': 4.44}, {'text': 'stabilizer that comes up over the heel', 'start': 360.99, 'duration': 3.87}, {'text': 'counter of the boot which again locks', 'start': 362.789, 'duration': 3.781}, {'text': 'your heel right in place keeps you', 'start': 364.86, 'duration': 3.029}, {'text': ""stable when you're when you're"", 'start': 366.57, 'duration': 3.9}, {'text': ""maneuvering this is again a boot that's"", 'start': 367.889, 'duration': 4.831}, {'text': 'designed to work and operate fast this', 'start': 370.47, 'duration': 4.77}, {'text': 'is a tactical Assault boot the guys will', 'start': 372.72, 'duration': 4.28}, {'text': 'be wearing this to do many operations', 'start': 375.24, 'duration': 4.62}, {'text': 'working our way up the boot off of the', 'start': 377.0, 'duration': 4.599}, {'text': ""fast rope system we've got this"", 'start': 379.86, 'duration': 4.59}, {'text': 'discolored area here what this is this', 'start': 381.599, 'duration': 7.081}, {'text': 'is a super fabric fabric embedded with', 'start': 384.45, 'duration': 7.23}, {'text': 'ceramic tiles the ceramic tiles will', 'start': 388.68, 'duration': 5.25}, {'text': 'dissipate the heat again keeping this', 'start': 391.68, 'duration': 5.609}, {'text': 'whole area comfortable and and', 'start': 393.93, 'duration': 4.85}, {'text': ""maneuverable if you're in the"", 'start': 397.289, 'duration': 3.171}, {'text': ""tactics and you're doing fast-roping"", 'start': 398.78, 'duration': 3.75}, {'text': 'this is not going to melt away this is', 'start': 400.46, 'duration': 3.63}, {'text': 'the most durable fabric in the world', 'start': 402.53, 'duration': 3.96}, {'text': 'today and again super durable', 'start': 404.09, 'duration': 5.22}, {'text': 'lightweight and and dissipates the heat', 'start': 406.49, 'duration': 6.649}, {'text': 'off of your forefoot there', 'start': 409.31, 'duration': 3.829}]"
xzba,_9BXr3t-dlE,"[2, 30, 55]",
4fba,XY6ijXSTigw,"[2, 30, 55]",
nLba,,"[5, 16]",
o0ba,s3IPWABEFSA,"[2, 7, 17, 19, 48, 90, 691, 955, 1519, 3177]",
4Kba,sJJ9CIM4PLM,[248],
ekba,,[14],
9Sba,aG2hTbpjq4k,"[2, 7, 100]",
ANba,hWuIOqSvqLE,"[18, 43, 59, 101, 286, 1121]",
IOba,vyDjvzWGL3A,"[184, 191]",
2sba,w1LZRkCbPJ4,[386],
ptba,-t3FIg09lgM,"[9, 37, 524]",
03ba,-u54oMXj6pM,"[2, 44, 46, 107, 109, 114, 138, 155, 162, 852, 1914, 2874]",
KWba,-u1r6VBEi2c,[3],
Riba,8LlUw_JqXN8,[347],"[{'text': 'the parkway itself is curvilinear in', 'start': 2.989, 'duration': 4.631}, {'text': ""virtually every direction there's really"", 'start': 5.85, 'duration': 4.35}, {'text': ""no straight lines there's a number of"", 'start': 7.62, 'duration': 4.559}, {'text': 'tunnels and bridges and the road', 'start': 10.2, 'duration': 5.099}, {'text': 'meanders through those you can imagine', 'start': 12.179, 'duration': 4.321}, {'text': 'with the number of people that work on', 'start': 15.299, 'duration': 3.781}, {'text': 'the parkway contemporaneously that great', 'start': 16.5, 'duration': 5.039}, {'text': 'Stakes and the traditional way of layout', 'start': 19.08, 'duration': 4.98}, {'text': 'are pretty much archaic in that', 'start': 21.539, 'duration': 5.13}, {'text': 'environment so we were looking for a a', 'start': 24.06, 'duration': 5.039}, {'text': 'system that was really total machine', 'start': 26.669, 'duration': 6.62}, {'text': 'control that could take us through that', 'start': 29.099, 'duration': 7.111}, {'text': 'construction activity and give us the', 'start': 33.289, 'duration': 5.171}, {'text': 'flexibility when we started to look at', 'start': 36.21, 'duration': 4.829}, {'text': 'like one of the technologies that we had', 'start': 38.46, 'duration': 6.45}, {'text': 'a keen interest in was smart net and the', 'start': 41.039, 'duration': 6.84}, {'text': 'GPS controls on a more global basis and', 'start': 44.91, 'duration': 5.52}, {'text': 'allowing us to coordinate that with all', 'start': 47.879, 'duration': 4.2}, {'text': 'of the substrates that were on the job', 'start': 50.43, 'duration': 4.89}, {'text': 'and to really yield a final result that', 'start': 52.079, 'duration': 5.341}, {'text': 'was as close to design cross-sections as', 'start': 55.32, 'duration': 5.489}, {'text': 'one could imagine so one of the one of', 'start': 57.42, 'duration': 6.42}, {'text': ""the newest innovations that we've been"", 'start': 60.809, 'duration': 6.391}, {'text': 'really intrigued with is the new MS 50', 'start': 63.84, 'duration': 5.819}, {'text': 'it allows us to continuously check', 'start': 67.2, 'duration': 5.19}, {'text': 'grades refine it on an ongoing basis in', 'start': 69.659, 'duration': 5.1}, {'text': 'real time that integrated with the', 'start': 72.39, 'duration': 5.04}, {'text': 'entire machine control operation the', 'start': 74.759, 'duration': 5.731}, {'text': 'telematics and so on allows us to really', 'start': 77.43, 'duration': 5.85}, {'text': 'reduce the crews that are placing the', 'start': 80.49, 'duration': 5.489}, {'text': 'various layers of open graded drainage', 'start': 83.28, 'duration': 4.979}, {'text': 'they are asphalt concrete and so on so', 'start': 85.979, 'duration': 4.561}, {'text': 'that the actual operator has real-time', 'start': 88.259, 'duration': 4.5}, {'text': 'information that is able to implement', 'start': 90.54, 'duration': 4.89}, {'text': 'and use and we can get into tolerances', 'start': 92.759, 'duration': 3.991}, {'text': 'of one millimeter to two millimeters', 'start': 95.43, 'duration': 4.799}, {'text': 'which is really unheard of at the level', 'start': 96.75, 'duration': 5.52}, {'text': ""that we've been doing it prior to using"", 'start': 100.229, 'duration': 4.591}, {'text': 'these controls implementing innovation', 'start': 102.27, 'duration': 4.529}, {'text': 'is always difficult you always have this', 'start': 104.82, 'duration': 3.19}, {'text': 'initial effort', 'start': 106.799, 'duration': 3.891}, {'text': 'we went into it with with an open mind', 'start': 108.01, 'duration': 4.42}, {'text': 'and with a culture of accepting change', 'start': 110.69, 'duration': 5.73}, {'text': 'and the actual transition and actually', 'start': 112.43, 'duration': 6.84}, {'text': 'implementing the Machine controls has', 'start': 116.42, 'duration': 5.07}, {'text': 'been virtually seamless our people have', 'start': 119.27, 'duration': 3.99}, {'text': ""accepted it they've accepted it because"", 'start': 121.49, 'duration': 3.33}, {'text': ""it's an extension of the way that they"", 'start': 123.26, 'duration': 3.66}, {'text': 'think the younger people that come into', 'start': 124.82, 'duration': 5.28}, {'text': 'this premises now use computers as an', 'start': 126.92, 'duration': 5.22}, {'text': 'extension of their right arm in doing so', 'start': 130.1, 'duration': 4.92}, {'text': ""they're really keen on adapting with"", 'start': 132.14, 'duration': 4.83}, {'text': 'this new technology and using it on the', 'start': 135.02, 'duration': 3.96}, {'text': 'job site it actually inspires them to', 'start': 136.97, 'duration': 3.6}, {'text': 'think and it creates a whole new', 'start': 138.98, 'duration': 3.75}, {'text': 'environment for them which then really', 'start': 140.57, 'duration': 4.35}, {'text': 'speaks to corporate culture long term it', 'start': 142.73, 'duration': 6.06}, {'text': 'really defines and and integrates the', 'start': 144.92, 'duration': 6.5}, {'text': 'entire team', 'start': 148.79, 'duration': 2.63}, {'text': 'you', 'start': 153.93, 'duration': 2.059}]"
lXba,CwpcYSq9HNE,"[0, 26, 956]",
yHba,DvaP11KxNzg,[14],
1lba,JppowVpQ_eU,"[4, 9, 10, 34]",
dWba,fd1bacRzCHI,"[3, 4, 9, 13, 38]",
iQba,RxiOlU42IOM,"[0, 1, 27, 2011, 2883]",
iHba,Teb38TkpKQo,"[6, 8]",
G6ba,TgkhCUAVhtQ,"[0, 26, 130]","[{'text': 'Oh', 'start': 0.0, 'duration': 2.03}, {'text': 'hey Mark so you wanna come over my house', 'start': 22.56, 'duration': 6.75}, {'text': 'today um sure', 'start': 25.51, 'duration': 6.56}, {'text': ""cool so how long do you think we'll be"", 'start': 29.31, 'duration': 6.14}, {'text': 'over there only about like an hour so', 'start': 32.07, 'duration': 6.809}, {'text': 'sounds good Cheyenne by some other guys', 'start': 35.45, 'duration': 6.49}, {'text': 'over to sure may as well okay on by', 'start': 38.879, 'duration': 4.891}, {'text': ""Isaac and Jeff over I'll call him on my"", 'start': 41.94, 'duration': 4.95}, {'text': 'cell phone hey Jeff so do you and Isaac', 'start': 43.77, 'duration': 5.16}, {'text': 'wanna come over for about an hour sure I', 'start': 46.89, 'duration': 3.9}, {'text': 'guess let me just tell Isaac and then', 'start': 48.93, 'duration': 5.19}, {'text': ""we'll be right over cool they'll be"", 'start': 50.79, 'duration': 6.71}, {'text': 'right over oh okay', 'start': 54.12, 'duration': 3.38}, {'text': ""come on Isaac hurry up i'm coming now"", 'start': 60.74, 'duration': 13.23}, {'text': ""we're gonna be late well well look out"", 'start': 65.21, 'duration': 8.76}, {'text': 'I', 'start': 79.06, 'duration': 2.03}, {'text': ""hey so well we I don't know maybe we can"", 'start': 82.32, 'duration': 14.4}, {'text': 'fix our cars and go explore', 'start': 93.58, 'duration': 3.14}, {'text': 'you', 'start': 97.06, 'duration': 2.059}, {'text': 'oh just change that and they', 'start': 99.28, 'duration': 25.3}, {'text': ""well let's go Wow everything is so big I"", 'start': 109.4, 'duration': 20.41}, {'text': ""mean it's like 60 times bigger than it's"", 'start': 124.58, 'duration': 12.12}, {'text': 'ever been in Legoland I know well man', 'start': 129.81, 'duration': 11.76}, {'text': ""dead end I guess it isn't all exciting"", 'start': 136.7, 'duration': 7.42}, {'text': 'oh wait I have a good idea where we can', 'start': 141.57, 'duration': 4.82}, {'text': 'go', 'start': 144.12, 'duration': 2.27}, {'text': 'some how are we going to get down there', 'start': 147.05, 'duration': 11.31}, {'text': ""oh I have an idea okay let's go ah"", 'start': 149.28, 'duration': 9.08}, {'text': 'ah', 'start': 160.81, 'duration': 2.03}, {'text': 'uh', 'start': 164.18, 'duration': 2.0}, {'text': ""uh whoa what is that I'm not sure let's"", 'start': 166.67, 'duration': 16.47}, {'text': 'go look inside whoa hey hey well my leg', 'start': 174.17, 'duration': 11.46}, {'text': ""is doing on the ground I'll just boom on"", 'start': 183.14, 'duration': 4.8}, {'text': ""my counter and then I'll oh come get"", 'start': 185.63, 'duration': 7.53}, {'text': 'them later whoa whoa is that yeah dude', 'start': 187.94, 'duration': 9.45}, {'text': ""that's a swimming pool now dude I I"", 'start': 193.16, 'duration': 7.17}, {'text': ""don't think that's a swim fool yeah yeah"", 'start': 197.39, 'duration': 5.19}, {'text': ""it is i'm gonna go swim in it no dude"", 'start': 200.33, 'duration': 3.9}, {'text': ""don't don't swim in it that's not"", 'start': 202.58, 'duration': 5.489}, {'text': 'swimming pool fine Oh could I go swim in', 'start': 204.23, 'duration': 8.49}, {'text': ""that one um no I don't I don't think you"", 'start': 208.069, 'duration': 7.741}, {'text': 'should go some that one either okay fine', 'start': 212.72, 'duration': 21.389}, {'text': ""jeez hey hey did you hear that who's"", 'start': 215.81, 'duration': 20.72}, {'text': 'that', 'start': 234.109, 'duration': 2.421}]"
T9ba,,"[0, 1, 124, 287]",
F4ba,vqydPqPLszA,"[2, 7, 17, 128, 1070]",
fvba,vr9anMo74-8,[12],
uJba,v-3H2X1SPhE,"[26, 130, 610]","[{'text': ""hi guys wingman 63 here today I'm some"", 'start': 0.0, 'duration': 7.74}, {'text': 'ask you guys a question rather you want', 'start': 4.19, 'duration': 7.06}, {'text': 'me to make something um ok so today the', 'start': 7.74, 'duration': 7.62}, {'text': ""question is if you've seen episode 22 of"", 'start': 11.25, 'duration': 6.66}, {'text': 'the Clone Wars the last episode when CAD', 'start': 15.36, 'duration': 10.679}, {'text': 'bang attacks the Senate building okay so', 'start': 17.91, 'duration': 10.949}, {'text': 'either do you want me to recreate that', 'start': 26.039, 'duration': 8.04}, {'text': 'one or two want me to make my own movie', 'start': 28.859, 'duration': 7.311}, {'text': 'with the Senate building in it and you', 'start': 34.079, 'duration': 5.701}, {'text': 'guys can vote on that but I do have the', 'start': 36.17, 'duration': 7.68}, {'text': ""chef's created if you do pick the"", 'start': 39.78, 'duration': 6.84}, {'text': 'episode 22 I have the one where it', 'start': 43.85, 'duration': 5.56}, {'text': 'carries Jabba the Hutt cousin or', 'start': 46.62, 'duration': 4.829}, {'text': 'something and then i have the to ship', 'start': 49.41, 'duration': 5.46}, {'text': 'these this is a scene from just the', 'start': 51.449, 'duration': 7.38}, {'text': 'movie but if you guys click episode 22', 'start': 54.87, 'duration': 7.14}, {'text': ""the droids won't be on the back but yes"", 'start': 58.829, 'duration': 6.751}, {'text': ""these are the ship's then i recreated"", 'start': 62.01, 'duration': 5.99}, {'text': 'the scenes and this will attach to that', 'start': 65.58, 'duration': 5.969}, {'text': 'you guys took that um the five clones', 'start': 68.0, 'duration': 5.47}, {'text': 'that my children begin to nuts a halt', 'start': 71.549, 'duration': 3.93}, {'text': 'this is a restricted area or whatever', 'start': 73.47, 'duration': 4.59}, {'text': 'and these the eight clones that march', 'start': 75.479, 'duration': 4.561}, {'text': 'into the room when he had been throws', 'start': 78.06, 'duration': 5.22}, {'text': 'the grenade and blows a llama i just had', 'start': 80.04, 'duration': 6.18}, {'text': 'all the guys in one place so that if I', 'start': 83.28, 'duration': 6.74}, {'text': ""do make that one I'll he is that but in"", 'start': 86.22, 'duration': 7.95}, {'text': 'my movie they attack everything and blow', 'start': 90.02, 'duration': 7.54}, {'text': 'it all up and like the Senate and then', 'start': 94.17, 'duration': 6.65}, {'text': 'like that the clones still come down and', 'start': 97.56, 'duration': 7.769}, {'text': ""take back the Senate building I'm going"", 'start': 100.82, 'duration': 6.22}, {'text': ""to be getting the pirate tank so I'll"", 'start': 105.329, 'duration': 5.08}, {'text': 'use those pirates as iris', 'start': 107.04, 'duration': 6.55}, {'text': 'where my movie but if you read if you', 'start': 110.409, 'duration': 8.931}, {'text': 'pick um did you', 'start': 113.59, 'duration': 5.75}, {'text': 'but so 22 then', 'start': 120.53, 'duration': 4.31}, {'text': 'then yeah then um yeah you know what I', 'start': 127.6, 'duration': 10.56}, {'text': ""mean then then yeah then i'll probably"", 'start': 133.06, 'duration': 7.74}, {'text': 'make like a custom Chad bang or', 'start': 138.16, 'duration': 5.909}, {'text': ""something I'm so yeah oh yeah that's"", 'start': 140.8, 'duration': 10.29}, {'text': 'pretty much it oh yeah oh yeah and this', 'start': 144.069, 'duration': 8.911}, {'text': ""is my half Senate both I'm not done yet"", 'start': 151.09, 'duration': 4.08}, {'text': ""that's going to be the door that leads"", 'start': 152.98, 'duration': 5.22}, {'text': 'down the hallway and this is the outside', 'start': 155.17, 'duration': 5.45}, {'text': 'where the gunship lands and Chad been', 'start': 158.2, 'duration': 8.88}, {'text': 'champing room tell me sup yeah yeah I', 'start': 160.62, 'duration': 9.07}, {'text': 'need you guys to vote on that and please', 'start': 167.08, 'duration': 5.61}, {'text': 'rate oh yeah I also have two assassin', 'start': 169.69, 'duration': 5.51}, {'text': 'droid battle packs but I only opened one', 'start': 172.69, 'duration': 5.19}, {'text': 'okay so please rate comment and', 'start': 175.2, 'duration': 4.74}, {'text': 'subscribe', 'start': 177.88, 'duration': 2.06}]"
